ANO_BO,NUM_BO,NUMERO_BOLETIM,BO_INICIADO,BO_EMITIDO,DATAOCORRENCIA,HORAOCORRENCIA,PERIDOOCORRENCIA,DATACOMUNICACAO,DATAELABORACAO,BO_AUTORIA,FLAGRANTE,NUMERO_BOLETIM_PRINCIPAL,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,DESCRICAOLOCAL,EXAME,SOLUCAO,DELEGACIA_NOME,DELEGACIA_CIRCUNSCRICAO,ESPECIE,RUBRICA,DESDOBRAMENTO,STATUS,TIPOPESSOA,VITIMAFATAL,NATURALIDADE,NACIONALIDADE,SEXO,DATANASCIMENTO,IDADE,ESTADOCIVIL,PROFISSAO,GRAUINSTRUCAO,CORCUTIS,NATUREZAVINCULADA,TIPOVINCULO,RELACIONAMENTO,PARENTESCO,PLACA_VEICULO,UF_VEICULO,CIDADE_VEICULO,DESCR_COR_VEICULO,DESCR_MARCA_VEICULO,ANO_FABRICACAO,ANO_MODELO,DESCR_TIPO_VEICULO,QUANT_CELULAR,MARCA_CELULAR
2022,2535,2535/2022,1/10/2022 1:54,1/10/2022 1:54,1/10/2022,0:20,DE MADRUGADA,1/10/2022,1/10/2022 1:54,Ignorado,Não,,Avenida Doutor Waldemar Leão,1,Jabaquara,SANTOS,SP,"-23,940,777","-463,345,529",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,CPJ SANTOS,02º D.P. SANTOS,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - INTERIOR DE VEICULO,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,LG
2022,1710181,1710181/2022,1/10/2022 1:58,1/10/2022 1:58,29/09/2022,19:15,A NOITE,30/09/2022,1/10/2022 1:58,Desconhecida,Não,,AVENIDA BRASIL,600,BOQUEIRAO,PRAIA GRANDE,SP,"-24,010,628,352","-464,175,860,249,999",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,03º D.P. PRAIA GRANDE-CAIÇARA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Apple
2022,1710244,1710244/2022,1/10/2022 3:16,1/10/2022 3:16,24/09/2022,13:20,A TARDE,30/09/2022,1/10/2022 3:16,Desconhecida,Não,,Rua Alfa,110,Balneario Praia do Pernambuco,GUARUJA,SP,"-239,712,937","-461,870,917",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,DEL.POL.GUARUJA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Apple
2022,1704914,1704914/2022,1/10/2022 7:34,1/10/2022 7:34,16/09/2022,15:45,A TARDE,19/09/2022,1/10/2022 7:34,Desconhecida,Não,1640741/2022 - 900020,RUA CÂNDIDO MARIANO DA SILVA RONDON,425,PARQUE BITARU,S.VICENTE,SP,"-239,619,537,101,428","-463,971,001,065,142",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,01º D.P. SÃO VICENTE,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,LG
2022,1704914,1704914/2022,1/10/2022 7:34,1/10/2022 7:34,16/09/2022,15:45,A TARDE,19/09/2022,1/10/2022 7:34,Desconhecida,Não,1640741/2022 - 900020,RUA CÂNDIDO MARIANO DA SILVA RONDON,425,PARQUE BITARU,S.VICENTE,SP,"-239,619,537,101,428","-463,971,001,065,142",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,01º D.P. SÃO VICENTE,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Samsung
2022,2539,2539/2022,1/10/2022 7:34,1/10/2022 7:34,1/10/2022,5:50,DE MADRUGADA,1/10/2022,1/10/2022 7:34,Desconhecida,Não,,RUA DUQUE DE CAXIAS,140,CAMPO GRANDE,SANTOS,SP,"-239,599,604,799,999","-46,341,599,742",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,CPJ SANTOS,02º D.P. SANTOS,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Samsung
2022,1711169,1711169/2022,1/10/2022 10:36,1/10/2022 10:36,30/09/2022,11:00,PELA MANHÃ,30/09/2022,1/10/2022 10:36,Desconhecida,Não,,RUA TOMÉ DE SOUZA,863,AVIAÇÃO,PRAIA GRANDE,SP,"-240,140,617,856,415","-464,450,197,630,188",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,03º D.P. PRAIA GRANDE-CAIÇARA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Motorola
2022,1711171,1711171/2022,1/10/2022 10:36,1/10/2022 10:36,29/09/2022,20:10,A NOITE,30/09/2022,1/10/2022 10:36,Desconhecida,Não,,RUA ENGENHEIRO SILVIO FERNANDES LOPES,52,PAE CARÁ,GUARUJA,SP,"-23,946,891,428","-46,284,920,152",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,02º D.P. GUARUJA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Samsung
2022,4899,4899/2022,1/10/2022 11:08,1/10/2022 11:08,1/10/2022,10:00,PELA MANHÃ,1/10/2022,1/10/2022 11:08,Desconhecida,Não,,AVENIDA ADEMAR DE BARROS,1578,JARDIM HELENA MARIA,GUARUJA,SP,"-23,991,327,116","-462,779,598,019,999",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,DEL.POL.GUARUJA,DEL.POL.GUARUJA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Motorola
2022,2542,2542/2022,1/10/2022 11:30,1/10/2022 11:30,30/09/2022,3:40,DE MADRUGADA,1/10/2022,1/10/2022 11:30,Desconhecida,Não,,Rua Doutor Albert Schweitzer,461,Alemoa,SANTOS,SP,"-239,237,478","-463,758,268",Via pública,,OFÍCIO,CPJ SANTOS,05º D.P. SANTOS,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - CARGA,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Motorola
2022,1711771,1711771/2022,1/10/2022 14:10,1/10/2022 14:10,25/09/2022,19:57,A NOITE,30/09/2022,1/10/2022 14:10,Desconhecida,Não,,RUA JOAQUIM TEIXEIRA DE CARVALHO,130,BOQUEIRAO,PRAIA GRANDE,SP,"-240,145,706,060,273","-464,018,966,587,534",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,03º D.P. PRAIA GRANDE-CAIÇARA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Apple
2022,2549,2549/2022,1/10/2022 16:32,1/10/2022 16:32,1/10/2022,13:50,A TARDE,1/10/2022,1/10/2022 16:32,Desconhecida,Não,,Rua Professor Reinaldo Porchart,9,Vila Belmiro,SANTOS,SP,"-239,506,934","-463,417,175",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,CPJ SANTOS,02º D.P. SANTOS,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,,Consumado,,,,,,,,,,,,,,,,DYE6B30,SP,SANTOS,Verde,HONDA/XRE 300 ABS,2019,2019,MOTOCICLO,1,Motorola
2022,2550,2550/2022,1/10/2022 17:12,1/10/2022 17:12,1/10/2022,13:20,A TARDE,1/10/2022,1/10/2022 17:12,Desconhecida,Não,,AVENIDA DOS BANCÁRIOS,109,PONTA DA PRAIA,SANTOS,SP,"-239,861,911,909,999","-463,043,415,669,999",Via pública,,BO PARA INVESTIGAÇÃO,CPJ SANTOS,03º D.P. SANTOS,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Apple
2022,152027,152027/2022,1/10/2022 18:24,1/10/2022 18:24,29/09/2022,11:00,PELA MANHÃ,30/09/2022,1/10/2022 18:24,Desconhecida,Não,,Rua Padre Anchieta,74,Centro,S.VICENTE,SP,"-239,693,908","-463,856,139",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA 3,DEL.POL.S.VICENTE,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Xiaomi
2022,2548,2548/2022,1/10/2022 18:42,1/10/2022 18:42,1/10/2022,15:00,A TARDE,1/10/2022,1/10/2022 18:42,Desconhecida,Não,,Avenida Martins Fontes,2372,Esplanada dos Barreiros,S.VICENTE,SP,"-239,605,715","-464,088,864",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.POL.S.VICENTE,02º D.P. SÃO VICENTE,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Samsung
