ANO_BO,NUM_BO,NUMERO_BOLETIM,BO_INICIADO,BO_EMITIDO,DATAOCORRENCIA,HORAOCORRENCIA,PERIDOOCORRENCIA,DATACOMUNICACAO,DATAELABORACAO,BO_AUTORIA,FLAGRANTE,NUMERO_BOLETIM_PRINCIPAL,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,DESCRICAOLOCAL,EXAME,SOLUCAO,DELEGACIA_NOME,DELEGACIA_CIRCUNSCRICAO,ESPECIE,RUBRICA,DESDOBRAMENTO,STATUS,TIPOPESSOA,VITIMAFATAL,NATURALIDADE,NACIONALIDADE,SEXO,DATANASCIMENTO,IDADE,ESTADOCIVIL,PROFISSAO,GRAUINSTRUCAO,CORCUTIS,NATUREZAVINCULADA,TIPOVINCULO,RELACIONAMENTO,PARENTESCO,PLACA_VEICULO,UF_VEICULO,CIDADE_VEICULO,DESCR_COR_VEICULO,DESCR_MARCA_VEICULO,ANO_FABRICACAO,ANO_MODELO,DESCR_TIPO_VEICULO,QUANT_CELULAR,MARCA_CELULAR
2023,171898,171898/2023,1/2/2023 9:36,1/2/2023 9:36,20/01/2023,17:45,A TARDE,31/01/2023,1/2/2023 9:36,Desconhecida,Não,,RUA TRINTA E UM DE MARÇO,952,MIRIM,PRAIA GRANDE,SP,"-240,310,046,190,256","-464,859,772,805,128",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,02º D.P.PRAIA GRANDE-BOQUEIRÃO,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Motorola
2023,282,282/2023,1/2/2023 11:08,1/2/2023 11:08,31/01/2023,19:15,A NOITE,1/2/2023,1/2/2023 11:08,Desconhecida,Não,,Avenida Pau-Brasil,237,Jardim Samambaia,PRAIA GRANDE,SP,"-240,319,571","-465,268,355",Condominio Comercial,,APRECIAÇÃO DO DELEGADO TITULAR,03º D.P. PRAIA GRANDE-CAIÇARA,03º D.P. PRAIA GRANDE,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - ESTABELECIMENTO COMERCIAL,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,4,Outros
2023,796,796/2023,1/2/2023 19:04,1/2/2023 19:04,1/2/2023,16:15,A TARDE,1/2/2023,1/2/2023 19:04,Conhecida,Não,,Rua Jair Roldão,626,Ilha das Caieiras,PRAIA GRANDE,SP,"-240,111,089","-464,740,227",Via pública,,BO PARA INVESTIGAÇÃO,CPJ PRAIA GRANDE,02º D.P.PRAIA GRANDE-BOQUEIRÃO,Localização e/ou Devolução,Localização/Apreensão de veículo,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,2,Motorola
2023,796,796/2023,1/2/2023 19:04,1/2/2023 19:04,1/2/2023,16:15,A TARDE,1/2/2023,1/2/2023 19:04,Conhecida,Não,,Rua Jair Roldão,626,Ilha das Caieiras,PRAIA GRANDE,SP,"-240,111,089","-464,740,227",Via pública,,BO PARA INVESTIGAÇÃO,CPJ PRAIA GRANDE,02º D.P.PRAIA GRANDE-BOQUEIRÃO,Localização e/ou Devolução,Localização/Apreensão de veículo,,Consumado,,,,,,,,,,,,,,,,GGI0347,SP,S.PAULO,Branco,HYUNDAI/IX35 GL,2017,2018,CAMIONETA,2,Motorola
2023,796,796/2023,1/2/2023 19:04,1/2/2023 19:04,1/2/2023,16:15,A TARDE,1/2/2023,1/2/2023 19:04,Conhecida,Não,,Rua Jair Roldão,626,Ilha das Caieiras,PRAIA GRANDE,SP,"-240,111,089","-464,740,227",Via pública,,BO PARA INVESTIGAÇÃO,CPJ PRAIA GRANDE,02º D.P.PRAIA GRANDE-BOQUEIRÃO,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,2,Motorola
2023,796,796/2023,1/2/2023 19:04,1/2/2023 19:04,1/2/2023,16:15,A TARDE,1/2/2023,1/2/2023 19:04,Conhecida,Não,,Rua Jair Roldão,626,Ilha das Caieiras,PRAIA GRANDE,SP,"-240,111,089","-464,740,227",Via pública,,BO PARA INVESTIGAÇÃO,CPJ PRAIA GRANDE,02º D.P.PRAIA GRANDE-BOQUEIRÃO,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,,Consumado,,,,,,,,,,,,,,,,GGI0347,SP,S.PAULO,Branco,HYUNDAI/IX35 GL,2017,2018,CAMIONETA,2,Motorola
2023,797,797/2023,2/2/2023 9:11,2/2/2023 9:11,1/2/2023,16:15,A TARDE,1/2/2023,2/2/2023 9:11,Conhecida,Não,796/2023 - 40929,Rua Jair Roldão,626,Ilha das Caieiras,PRAIA GRANDE,SP,"-240,111,089","-464,740,227",Via pública,,BO PARA INVESTIGAÇÃO,CPJ PRAIA GRANDE,01º D.P. PRAIA GRANDE-VL. TUPI,Localização e/ou Devolução,Localização/Apreensão de veículo,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,2,Motorola
2023,797,797/2023,2/2/2023 9:11,2/2/2023 9:11,1/2/2023,16:15,A TARDE,1/2/2023,2/2/2023 9:11,Conhecida,Não,796/2023 - 40929,Rua Jair Roldão,626,Ilha das Caieiras,PRAIA GRANDE,SP,"-240,111,089","-464,740,227",Via pública,,BO PARA INVESTIGAÇÃO,CPJ PRAIA GRANDE,01º D.P. PRAIA GRANDE-VL. TUPI,Localização e/ou Devolução,Localização/Apreensão de veículo,,Consumado,,,,,,,,,,,,,,,,GGI0347,SP,S.PAULO,Branco,HYUNDAI/IX35 GL,2017,2018,CAMIONETA,2,Motorola
2023,797,797/2023,2/2/2023 9:11,2/2/2023 9:11,1/2/2023,16:15,A TARDE,1/2/2023,2/2/2023 9:11,Conhecida,Não,796/2023 - 40929,Rua Jair Roldão,626,Ilha das Caieiras,PRAIA GRANDE,SP,"-240,111,089","-464,740,227",Via pública,,BO PARA INVESTIGAÇÃO,CPJ PRAIA GRANDE,01º D.P. PRAIA GRANDE-VL. TUPI,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,2,Motorola
2023,797,797/2023,2/2/2023 9:11,2/2/2023 9:11,1/2/2023,16:15,A TARDE,1/2/2023,2/2/2023 9:11,Conhecida,Não,796/2023 - 40929,Rua Jair Roldão,626,Ilha das Caieiras,PRAIA GRANDE,SP,"-240,111,089","-464,740,227",Via pública,,BO PARA INVESTIGAÇÃO,CPJ PRAIA GRANDE,01º D.P. PRAIA GRANDE-VL. TUPI,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,,Consumado,,,,,,,,,,,,,,,,GGI0347,SP,S.PAULO,Branco,HYUNDAI/IX35 GL,2017,2018,CAMIONETA,2,Motorola
