ANO_BO,NUM_BO,NUMERO_BOLETIM,BO_INICIADO,BO_EMITIDO,DATAOCORRENCIA,HORAOCORRENCIA,PERIDOOCORRENCIA,DATACOMUNICACAO,DATAELABORACAO,BO_AUTORIA,FLAGRANTE,NUMERO_BOLETIM_PRINCIPAL,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,DESCRICAOLOCAL,EXAME,SOLUCAO,DELEGACIA_NOME,DELEGACIA_CIRCUNSCRICAO,ESPECIE,RUBRICA,DESDOBRAMENTO,STATUS,TIPOPESSOA,VITIMAFATAL,NATURALIDADE,NACIONALIDADE,SEXO,DATANASCIMENTO,IDADE,ESTADOCIVIL,PROFISSAO,GRAUINSTRUCAO,CORCUTIS,NATUREZAVINCULADA,TIPOVINCULO,RELACIONAMENTO,PARENTESCO,PLACA_VEICULO,UF_VEICULO,CIDADE_VEICULO,DESCR_COR_VEICULO,DESCR_MARCA_VEICULO,ANO_FABRICACAO,ANO_MODELO,DESCR_TIPO_VEICULO,QUANT_CELULAR,MARCA_CELULAR
2022,6009,6009/2022,1/12/2022 3:25,1/12/2022 3:25,1/12/2022,1:00,DE MADRUGADA,1/12/2022,1/12/2022 3:25,Desconhecida,Não,,,0,Sítio Paecara (Vicente de Carvalho),GUARUJA,SP,,,Residência,,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.POL.GUARUJA,02º D.P. GUARUJA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - RESIDENCIA,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Apple
2022,2042044,2042044/2022,1/12/2022 7:46,1/12/2022 7:46,27/11/2022,12:00,PELA MANHÃ,30/11/2022,1/12/2022 7:46,Desconhecida,Não,2042043/2022 - 900020,RUA TUPI,633,TUPI,PRAIA GRANDE,SP,"-240,211,507,088,421","-46,459,469,225",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,01º D.P. PRAIA GRANDE-VL. TUPI,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Motorola
2022,2040153,2040153/2022,1/12/2022 8:31,1/12/2022 8:31,29/11/2022,21:50,A NOITE,29/11/2022,1/12/2022 8:31,Desconhecida,Não,2040152/2022 - 900020,Avenida Washington Luís,223,Vila Mathias,SANTOS,SP,,,Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,04º D.P. SANTOS,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Xiaomi
2022,1308,1308/2022,1/12/2022 11:49,1/12/2022 11:49,30/11/2022,19:50,A NOITE,1/12/2022,1/12/2022 11:49,Desconhecida,Não,,Rua Brigadeiro Eduardo Gomes,213,Jardim Boa Esperanca (Vicente de Carvalh,GUARUJA,SP,"-239,628,208","-462,729,626",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,01º D.P. SANTOS,01º D.P. GUARUJA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Motorola
2022,1157,1157/2022,1/12/2022 13:35,1/12/2022 13:35,1/12/2022,8:50,PELA MANHÃ,1/12/2022,1/12/2022 13:35,Desconhecida,Não,,Avenida Marginal,0,Parque das Bandeiras,S.VICENTE,SP,"-239,928,224","-464,957,144",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,03º D.P. SÃO VICENTE,03º D.P. SÃO VICENTE,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Samsung
2022,2035862,2035862/2022,1/12/2022 14:01,1/12/2022 14:01,19/11/2022,23:45,A NOITE,20/11/2022,1/12/2022 14:01,Desconhecida,Não,1982053/2022 - 900020,Rua Acre,113,Balneario Praia do Perequê,GUARUJA,SP,"-239,369,346","-461,850,742",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,DEL.POL.GUARUJA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Motorola
2022,2905,2905/2022,1/12/2022 15:06,1/12/2022 15:06,30/11/2022,,EM HORA INCERTA,1/12/2022,1/12/2022 15:06,Desconhecida,Não,,AVENIDA WILSOM,1504,CENTRO,S.VICENTE,SP,"-23,964,447,854","-463,833,465,449,999",Via pública,,BO PARA REGISTRO,01º D.P. SÃO VICENTE,DEL.POL.S.VICENTE,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Samsung
2022,3057,3057/2022,1/12/2022 17:10,1/12/2022 17:10,29/11/2022,18:50,A NOITE,29/11/2022,1/12/2022 17:10,Desconhecida,Não,3038/2022 - 40207,Avenida São Paulo,2114,Vila Ac,MONGAGUA,SP,"-240,998,715","-466,317,461",Condominio Comercial,,BO PARA INVESTIGAÇÃO,DEL.POL.MONGAGUA,DEL.POL.MONGAGUA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - INTERIOR ESTABELECIMENTO,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Motorola
2022,3057,3057/2022,1/12/2022 17:10,1/12/2022 17:10,29/11/2022,18:50,A NOITE,29/11/2022,1/12/2022 17:10,Desconhecida,Não,3038/2022 - 40207,Avenida São Paulo,2114,Vila Ac,MONGAGUA,SP,"-240,998,715","-466,317,461",Condominio Comercial,,BO PARA INVESTIGAÇÃO,DEL.POL.MONGAGUA,DEL.POL.MONGAGUA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - INTERIOR ESTABELECIMENTO,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Nokia
2022,3057,3057/2022,1/12/2022 17:10,1/12/2022 17:10,29/11/2022,18:50,A NOITE,29/11/2022,1/12/2022 17:10,Desconhecida,Não,3038/2022 - 40207,Avenida São Paulo,2114,Vila Ac,MONGAGUA,SP,"-240,998,715","-466,317,461",Condominio Comercial,,BO PARA INVESTIGAÇÃO,DEL.POL.MONGAGUA,DEL.POL.MONGAGUA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - INTERIOR ESTABELECIMENTO,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Outros
