ANO_BO,NUM_BO,NUMERO_BOLETIM,BO_INICIADO,BO_EMITIDO,DATAOCORRENCIA,HORAOCORRENCIA,PERIDOOCORRENCIA,DATACOMUNICACAO,DATAELABORACAO,BO_AUTORIA,FLAGRANTE,NUMERO_BOLETIM_PRINCIPAL,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,DESCRICAOLOCAL,EXAME,SOLUCAO,DELEGACIA_NOME,DELEGACIA_CIRCUNSCRICAO,ESPECIE,RUBRICA,DESDOBRAMENTO,STATUS,TIPOPESSOA,VITIMAFATAL,NATURALIDADE,NACIONALIDADE,SEXO,DATANASCIMENTO,IDADE,ESTADOCIVIL,PROFISSAO,GRAUINSTRUCAO,CORCUTIS,NATUREZAVINCULADA,TIPOVINCULO,RELACIONAMENTO,PARENTESCO,PLACA_VEICULO,UF_VEICULO,CIDADE_VEICULO,DESCR_COR_VEICULO,DESCR_MARCA_VEICULO,ANO_FABRICACAO,ANO_MODELO,DESCR_TIPO_VEICULO,QUANT_CELULAR,MARCA_CELULAR
2023,27,27/2023,1/1/2023 0:39,1/1/2023 0:39,31/12/2022,23:32,A NOITE,1/1/2023,1/1/2023 0:39,Desconhecida,Não,,Avenida Governador Mário Covas Júnior,10,Centro,PERUIBE,SP,"-243,254,647","-469,961,045",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.POL.PERUIBE,DEL.POL.PERUIBE,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Apple
2023,8597,8597/2023,1/1/2023 0:51,1/1/2023 0:52,31/12/2022,2:00,DE MADRUGADA,31/12/2022,1/1/2023 0:51,Desconhecida,Não,,Rua França Pinto,240,Enseada,GUARUJA,SP,"-239,884,429","-462,435,112",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,DEL.POL.GUARUJA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Apple
2023,8625,8625/2023,1/1/2023 1:01,1/1/2023 1:01,31/12/2022,3:30,DE MADRUGADA,31/12/2022,1/1/2023 1:01,Desconhecida,Não,,RUA JÚLIO SECO DE CARVALHO,321,SOLEMAR,PRAIA GRANDE,SP,"-240,784,126,621,999","-465,903,827,647,999",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,03º D.P. PRAIA GRANDE,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Motorola
2023,38,38/2023,1/1/2023 2:52,1/1/2023 2:52,1/1/2023,0:30,DE MADRUGADA,1/1/2023,1/1/2023 2:52,Conhecida,Sim,,Avenida Marechal Deodoro da Fonseca,200,Centro,GUARUJA,SP,"-239,962,638","-462,552,263",Lazer e recreação,,BO PARA FLAGRANTE,DEL.POL.GUARUJA,DEL.POL.GUARUJA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Apple
2023,38,38/2023,1/1/2023 2:52,1/1/2023 2:52,1/1/2023,0:30,DE MADRUGADA,1/1/2023,1/1/2023 2:52,Conhecida,Sim,,Avenida Marechal Deodoro da Fonseca,200,Centro,GUARUJA,SP,"-239,962,638","-462,552,263",Lazer e recreação,,BO PARA FLAGRANTE,DEL.POL.GUARUJA,DEL.POL.GUARUJA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Samsung
2023,31,31/2023,1/1/2023 3:09,1/1/2023 3:09,1/1/2023,0:51,DE MADRUGADA,1/1/2023,1/1/2023 3:09,Desconhecida,Não,,Avenida Governador Mário Covas Júnior,1,Centro,PERUIBE,SP,"-243,254,647","-469,961,045",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.POL.PERUIBE,DEL.POL.PERUIBE,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Apple
2023,8825,8825/2023,1/1/2023 3:28,1/1/2023 3:28,31/12/2022,2:00,DE MADRUGADA,31/12/2022,1/1/2023 3:28,Desconhecida,Não,,AVENIDA MARIO DAIGE,536,JARDIM BOA ESPERANÇA,GUARUJA,SP,"-23,962,742,364","-4,627,615,278",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,01º D.P. GUARUJA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Motorola
2023,41,41/2023,1/1/2023 3:33,1/1/2023 3:33,1/1/2023,0:05,DE MADRUGADA,1/1/2023,1/1/2023 3:33,Desconhecida,Não,,Avenida São Paulo,9613,,MONGAGUA,SP,"-241,141,244","-466,597,107",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.POL.MONGAGUA,01º D.P. MONGAGUA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Samsung
2023,39,39/2023,1/1/2023 3:56,1/1/2023 3:56,1/1/2023,0:20,DE MADRUGADA,1/1/2023,1/1/2023 3:56,Desconhecida,Não,,Avenida Governador Mário Covas Júnior,10000,AGENOR DE CAMPOS,MONGAGUA,SP,"-241,156,535","-466,586,604",Lazer e recreação,,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.POL.MONGAGUA,01º D.P. MONGAGUA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Apple
2023,8854,8854/2023,1/1/2023 3:58,1/1/2023 3:58,31/12/2022,8:15,PELA MANHÃ,31/12/2022,1/1/2023 3:58,Desconhecida,Não,,RUA BAHIA,192,VILA ITAPENMA,GUARUJA,SP,"-239,418,978,059,637","-463,018,809,355,577",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,02º D.P. GUARUJA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Samsung
