ANO_BO,NUM_BO,NUMERO_BOLETIM,BO_INICIADO,BO_EMITIDO,DATAOCORRENCIA,HORAOCORRENCIA,PERIDOOCORRENCIA,DATACOMUNICACAO,DATAELABORACAO,BO_AUTORIA,FLAGRANTE,NUMERO_BOLETIM_PRINCIPAL,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,DESCRICAOLOCAL,EXAME,SOLUCAO,DELEGACIA_NOME,DELEGACIA_CIRCUNSCRICAO,ESPECIE,RUBRICA,DESDOBRAMENTO,STATUS,TIPOPESSOA,VITIMAFATAL,NATURALIDADE,NACIONALIDADE,SEXO,DATANASCIMENTO,IDADE,ESTADOCIVIL,PROFISSAO,GRAUINSTRUCAO,CORCUTIS,NATUREZAVINCULADA,TIPOVINCULO,RELACIONAMENTO,PARENTESCO,PLACA_VEICULO,UF_VEICULO,CIDADE_VEICULO,DESCR_COR_VEICULO,DESCR_MARCA_VEICULO,ANO_FABRICACAO,ANO_MODELO,DESCR_TIPO_VEICULO,QUANT_CELULAR,MARCA_CELULAR
2022,185678,185678/2022,1/11/2022 0:32,1/11/2022 0:32,31/10/2022,19:20,A NOITE,31/10/2022,1/11/2022 0:32,Desconhecida,Não,,"Avenida Presidente Wilson, 289",256,Centro,S.VICENTE,SP,"-23,973,019,270,105","-463,849,490,339,472",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA 3,DEL.POL.S.VICENTE,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - ESTABELECIMENTO-OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Motorola
2022,1872247,1872247/2022,1/11/2022 4:33,1/11/2022 4:33,30/10/2022,21:00,A NOITE,31/10/2022,1/11/2022 4:33,Desconhecida,Não,,AVENIDA PRESIDENTE VARGAS,1,PARQUE ESTUÁRIO- ELESBÃO,GUARUJA,SP,"-239,410,839,879,999","-46,287,799,567",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,02º D.P. GUARUJA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Samsung
2022,1872252,1872252/2022,1/11/2022 4:35,1/11/2022 4:35,29/10/2022,4:00,DE MADRUGADA,31/10/2022,1/11/2022 4:35,Desconhecida,Não,,AVENIDA PRESIDENTE WILSON,40,GONZAGA,SANTOS,SP,"-239,687,518,344,419","-463,374,993,445,524",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,07º D.P. SANTOS,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Apple
2022,1872254,1872254/2022,1/11/2022 4:36,1/11/2022 4:36,31/10/2022,6:00,PELA MANHÃ,31/10/2022,1/11/2022 4:36,Desconhecida,Não,,RUA BENEDITA CUSTÓDIO,168,TREVO,PRAIA GRANDE,SP,"-240,349,804,053,571","-465,233,396,121,428",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,03º D.P. PRAIA GRANDE,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Motorola
2022,1872990,1872990/2022,1/11/2022 8:08,1/11/2022 8:08,30/10/2022,5:50,DE MADRUGADA,31/10/2022,1/11/2022 8:08,Desconhecida,Não,,Avenida General Rondon,2061,Vila Alzira,GUARUJA,SP,"-240,127,553","-462,709,475",Outros,,BO PARA REGISTRO,DELEGACIA ELETRONICA,DEL.POL.GUARUJA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Xiaomi
2022,5451,5451/2022,1/11/2022 9:29,1/11/2022 9:29,1/11/2022,7:30,PELA MANHÃ,1/11/2022,1/11/2022 9:29,Desconhecida,Não,,RODOVIA SPA 248/055,1,JARDIM CONCEIÇÃOZINHA,GUARUJA,SP,"-23,969,006,016","-46,270,732,117",Via pública,,BO PARA INVESTIGAÇÃO,DEL.POL.GUARUJA,01º D.P. GUARUJA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,LG
2022,1034,1034/2022,1/11/2022 9:31,1/11/2022 9:31,30/10/2022,,DE MADRUGADA,1/11/2022,1/11/2022 9:31,Desconhecida,Não,,RUA SANTOS DUMONT,0,SÍTIO CONCEIÇÃOZINHA,GUARUJA,SP,"-239,727,006,539,999","-46,276,577,701",Restaurante e afins,,BO PARA INVESTIGAÇÃO,02º D.P. GUARUJA,01º D.P. GUARUJA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Samsung
2022,2093,2093/2022,1/11/2022 10:45,1/11/2022 10:45,29/10/2022,13:00,A TARDE,31/10/2022,1/11/2022 10:45,Desconhecida,Não,2084/2022 - 40412,Rua São Lourenço,450,Jardim Imperador,PRAIA GRANDE,SP,"-240,613,915","-465,548,664",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,03º D.P. PRAIA GRANDE-CAIÇARA,03º D.P. PRAIA GRANDE,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Samsung
2022,185979,185979/2022,1/11/2022 10:45,1/11/2022 10:45,30/10/2022,,A TARDE,31/10/2022,1/11/2022 10:45,Desconhecida,Não,,RUA COLÔMBIA,314,JOSEFINA E CHEBL,GUARUJA,SP,"-239,857,239,506,842","-462,334,019,397,894",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA 3,DEL.POL.GUARUJA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Apple
2022,185979,185979/2022,1/11/2022 10:45,1/11/2022 10:45,30/10/2022,,A TARDE,31/10/2022,1/11/2022 10:45,Desconhecida,Não,,RUA COLÔMBIA,314,JOSEFINA E CHEBL,GUARUJA,SP,"-239,857,239,506,842","-462,334,019,397,894",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA 3,DEL.POL.GUARUJA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Xiaomi
