ANO_BO,NUM_BO,NUMERO_BOLETIM,BO_INICIADO,BO_EMITIDO,DATAOCORRENCIA,HORAOCORRENCIA,PERIDOOCORRENCIA,DATACOMUNICACAO,DATAELABORACAO,BO_AUTORIA,FLAGRANTE,NUMERO_BOLETIM_PRINCIPAL,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,DESCRICAOLOCAL,EXAME,SOLUCAO,DELEGACIA_NOME,DELEGACIA_CIRCUNSCRICAO,ESPECIE,RUBRICA,DESDOBRAMENTO,STATUS,TIPOPESSOA,VITIMAFATAL,NATURALIDADE,NACIONALIDADE,SEXO,DATANASCIMENTO,IDADE,ESTADOCIVIL,PROFISSAO,GRAUINSTRUCAO,CORCUTIS,NATUREZAVINCULADA,TIPOVINCULO,RELACIONAMENTO,PARENTESCO,PLACA_VEICULO,UF_VEICULO,CIDADE_VEICULO,DESCR_COR_VEICULO,DESCR_MARCA_VEICULO,ANO_FABRICACAO,ANO_MODELO,DESCR_TIPO_VEICULO,QUANT_CELULAR,MARCA_CELULAR
2022,120362,120362/2022,1/9/2022 0:32,1/9/2022 0:32,29/08/2022,,PELA MANHÃ,31/08/2022,1/9/2022 0:32,Desconhecida,Não,,RUA TUPI,239,VILA NOSSA SENHORA DE FATIMA,S.VICENTE,SP,"-239,556,807,045,538","-464,015,455,040,769",Outros,,BO PARA REGISTRO,DELEGACIA ELETRONICA 3,02º D.P. SÃO VICENTE,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Samsung
2022,1553102,1553102/2022,1/9/2022 1:13,1/9/2022 1:13,31/08/2022,11:00,PELA MANHÃ,31/08/2022,1/9/2022 1:13,Desconhecida,Não,,RUA EMANNOEL THAUMATURGO,1,JD VISTA LINDA,BERTIOGA,SP,"-238,063,810,379,999","-460,788,622,589,999",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,DEL.POL.BERTIOGA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Samsung
2022,1553113,1553113/2022,1/9/2022 1:14,1/9/2022 1:14,31/08/2022,22:40,A NOITE,1/9/2022,1/9/2022 1:14,Desconhecida,Não,,RUA MILTON PINTO,879,PARQUE DAS BANDEIRAS,S.VICENTE,SP,"-239,779,261,589,907","-464,964,744,071,944",Garagem ou abrigo de residência,,BO PARA REGISTRO,DELEGACIA ELETRONICA,03º D.P. SÃO VICENTE,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,LG
2022,1553260,1553260/2022,1/9/2022 2:04,1/9/2022 2:04,31/08/2022,16:50,A TARDE,31/08/2022,1/9/2022 2:04,Desconhecida,Não,,AVENIDA MANOEL DA NÓBREGA,176,ITARARE,S.VICENTE,SP,"-239,755,188,991,111","-463,713,108,832,589",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,DEL.POL.S.VICENTE,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Samsung
2022,1553415,1553415/2022,1/9/2022 5:38,1/9/2022 5:38,30/08/2022,8:50,PELA MANHÃ,31/08/2022,1/9/2022 5:38,Desconhecida,Não,,Avenida João Roberto Correia,1027,Vila Sonia,PRAIA GRANDE,SP,"-239,966,446","-464,555,197",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,03º D.P. PRAIA GRANDE-CAIÇARA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Apple
2022,1551056,1551056/2022,1/9/2022 6:49,1/9/2022 6:49,30/08/2022,16:00,A TARDE,30/08/2022,1/9/2022 6:49,Desconhecida,Não,1551055/2022 - 900020,RUA MARIO DE ANDRADE,717,OCIAN,PRAIA GRANDE,SP,"-240,243,769,518,571","-464,712,954,155,357",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,02º D.P.PRAIA GRANDE-BOQUEIRÃO,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Samsung
2022,1551057,1551057/2022,1/9/2022 7:46,1/9/2022 7:46,30/08/2022,16:00,A TARDE,30/08/2022,1/9/2022 7:46,Desconhecida,Não,1551056/2022 - 900020,RUA MARIO DE ANDRADE,717,OCIAN,PRAIA GRANDE,SP,"-240,243,769,518,571","-464,712,954,155,357",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,01º D.P. PRAIA GRANDE-VL. TUPI,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Samsung
2022,929,929/2022,1/9/2022 9:24,1/9/2022 9:24,31/08/2022,,A TARDE,1/9/2022,1/9/2022 9:24,Desconhecida,Não,,,0,JARDIM SUARÃO (PRAIA),ITANHAEM,SP,,,Residência,,BO PARA INVESTIGAÇÃO,03º D.P. ITANHAEM,03º D.P. ITANHAEM,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Positivo
2022,3194,3194/2022,1/9/2022 9:33,1/9/2022 9:33,1/9/2022,8:30,PELA MANHÃ,1/9/2022,1/9/2022 9:33,Desconhecida,Não,,AVENIDA PADRE ANCHIETA,1,CENTRO,PERUIBE,SP,"-24,319,181,493","-46,994,962,949",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,DEL.POL.PERUIBE,DEL.POL.PERUIBE,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,LG
2022,1555120,1555120/2022,1/9/2022 10:46,1/9/2022 10:46,31/08/2022,18:39,A NOITE,31/08/2022,1/9/2022 10:46,Desconhecida,Não,,RUA JOÃO ANTUNES,83,JOSE MENINO,SANTOS,SP,"-239,693,166,291,818","-463,531,715,276,818",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,07º D.P. SANTOS,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Samsung
